Year,Country,HDI,LifeExp,ExRate,TradeIM,TradeEX,Pop,AgeDib,LitRate,Gini,ExpImp
1998,Bangladesh,0.453,0.681,46.90565167,318.6,1846,122682815,58.21428291,,,
1999,Bangladesh,0.462,0.69,49.0854,274.1,1918.1,125189651,58.69593885,,,
2000,Bangladesh,0.47,0.699,52.14166667,239,2417.5,127657854,59.18887607,,,29.3
2001,Bangladesh,0.479,0.707,55.80666667,307,2358.9,130088702,59.57994646,47.48550034,,
2002,Bangladesh,0.485,0.714,57.888,269.2,2134.1,132478086,59.99746554,,,
2003,Bangladesh,0.492,0.721,58.15004,225.884184,2073.871901,134791603,60.43288839,,,
2004,Bangladesh,0.499,0.728,59.51265833,289.302576,2302.589719,136986432,60.87805835,,,
2005,Bangladesh,0.506,0.735,64.327475,319.769758,2693.035035,139035505,61.33156347,,,34.4
2006,Bangladesh,0.514,0.742,68.93323333,332.951338,3271.396005,140921167,61.67627181,,,
2007,Bangladesh,0.521,0.748,68.874875,455.98559,3432.080304,142660376,62.0420957,46.66360092,,
2008,Bangladesh,0.524,0.755,68.598275,468.054418,3748.440438,144304167,62.42721667,,,
2009,Bangladesh,0.535,0.761,69.03906667,434.568444,3698.952442,145924797,62.82739801,,,
2010,Bangladesh,0.549,0.767,69.64929167,575.698015,4293.920187,147575430,63.24123467,,32.4,37.8
2011,Bangladesh,0.559,0.773,74.1524,1144.148134,4877.104938,149273778,63.71440142,58.7691803,32.4,47.4
2012,Bangladesh,0.567,0.779,81.86265833,508.180705,4915.569502,151007807,64.17373515,57.86074829,32.4,48.1
2013,Bangladesh,0.572,0.784,78.103235,708.77758,5351.935923,152764676,64.63338145,61.01554108,32.4,46.3
2014,Bangladesh,0.572,0.788,77.64140833,1113.229387,5276.759511,154520167,65.11320972,61.09329987,32.4,44.5
2015,Bangladesh,0.588,0.793,77.94690833,942.520126,5990.466943,156256276,65.61857714,65.1373291,32.4,42.1
2016,Bangladesh,0.599,0.797,78.46809167,905.730601,5910.076118,157970840,66.11132307,72.7587204,32.4,38
2017,Bangladesh,0.609,0.801,80.43754167,1473.824735,5686.125763,159670593,66.625937,72.89296722,32.4,35.3
2018,Bangladesh,0.614,0.805,83.46620192,2081.527143,6101.987897,161356039,67.13558688,73.91220093,,38.2
1998,Brunei Darussalam,0.798,0.804,1.673601667,122.8,211.1,319144,65.67411576,,,
1999,Brunei Darussalam,0.804,0.808,1.694956667,66.8,388.8,326210,66.30452776,,,
2000,Brunei Darussalam,0.805,0.812,1.723963333,156.2,383.7,333165,66.97492234,,,103.2
2001,Brunei Darussalam,0.806,0.817,1.7917225,103.8,398.8,340034,67.3926725,92.67112732,,
2002,Brunei Darussalam,0.809,0.821,1.790588333,46.5,287.2,346782,67.88097421,,,
2003,Brunei Darussalam,0.815,0.824,1.742183333,37.511593,422.480167,353293,68.35233078,,,
2004,Brunei Darussalam,0.82,0.828,1.690228333,47.860373,405.833047,359433,68.78889807,,,
2005,Brunei Darussalam,0.824,0.831,1.6643975,49.614155,562.742346,365114,69.21591612,,,97.5
2006,Brunei Darussalam,0.827,0.834,1.588933333,47.96416,550.147536,370263,69.41957473,,,
2007,Brunei Darussalam,0.827,0.836,1.507101667,139.629502,404.567281,374965,69.72170736,,,
2008,Brunei Darussalam,0.828,0.838,1.417166667,111.514845,114.25292,379421,70.0564808,,,
2009,Brunei Darussalam,0.831,0.84,1.454569273,100.205408,41.579781,383906,70.36983011,,,
2010,Brunei Darussalam,0.832,0.842,1.363509474,124.168019,11.874902,388646,70.65118385,,,95.4
2011,Brunei Darussalam,0.836,0.844,1.25791302,184.371635,23.414888,393688,71.04763163,96.08556366,,99.5
2012,Brunei Darussalam,0.843,0.846,1.249567016,157.609639,86.29978,398989,71.30522395,,,105.6
2013,Brunei Darussalam,0.844,0.847,1.25116567,558.297839,17.184938,404421,71.48046219,,,110.9
2014,Brunei Darussalam,0.845,0.849,1.267040123,549.21012,31.874542,409769,71.64719635,,,99.4
2015,Brunei Darussalam,0.843,0.851,1.374910845,133.446638,19.402766,414907,71.8373033,,,84.9
2016,Brunei Darussalam,0.844,0.853,1.381346877,614.355682,13.763921,419800,71.8158647,,,87.3
2017,Brunei Darussalam,0.843,0.855,1.380891164,121.11934,22.7896,424473,71.93625979,,,85.2
2018,Brunei Darussalam,0.845,0.857,1.348918565,266.010046,98.015063,428962,72.10039094,97.21411133,,93.9
1998,China,0.574,0.781,8.278958333,14241.2,71168.6,1241935000,67.60975787,,,
1999,China,0.583,0.786,8.27825,13111.1,81788.2,1252735000,67.84412878,,,
2000,China,0.591,0.791,8.278504167,16185.2,100018.2,1262645000,68.39942643,90.92021179,,39.4
2001,China,0.599,0.796,8.277068333,19182.3,102278.4,1271850000,68.84570634,,,
2002,China,0.61,0.801,8.2769575,22127.7,125192.6,1280400000,69.63820318,,,
2003,China,0.622,0.806,8.277036667,28367.94286,152436.0969,1288400000,70.61835958,,,
2004,China,0.631,0.811,8.276800833,34427.77246,196682.0339,1296075000,71.50885232,,,
2005,China,0.643,0.815,8.194316667,41192.01012,243470.1048,1303720000,72.16407974,,,62.2
2006,China,0.657,0.82,7.973438333,53673.00834,287774.3526,1311020000,72.67358001,,,
2007,China,0.67,0.824,7.6075325,62936.89158,321442.8669,1317885000,72.98536685,,,
2008,China,0.681,0.828,6.948655,69732.83754,337772.6278,1324655000,73.12961128,,,
2009,China,0.69,0.833,6.831416052,69496.67861,296373.8835,1331260000,73.20572554,,,
2010,China,0.702,0.837,6.770269029,91911.08094,364952.6336,1337705000,73.26558948,95.1244812,38.6,49
2011,China,0.711,0.842,6.461461327,104121.5236,399371.2326,1344130000,73.23099978,,38.6,50.7
2012,China,0.719,0.846,6.312332827,110516.6157,425619.0826,1350695000,73.17702795,,38.6,48.3
2013,China,0.727,0.851,6.195758346,121746.1886,440430.0196,1357380000,73.0809292,,38.6,46.7
2014,China,0.735,0.856,6.143434094,123657.2034,468474.8949,1364270000,72.89924074,,38.6,45.1
2015,China,0.742,0.86,6.227488673,115873.3653,483201.6554,1371220000,72.61433377,,38.6,39.6
2016,China,0.749,0.865,6.644477829,115594.7845,462419.9916,1378665000,72.20275277,,38.6,37.2
2017,China,0.753,0.869,6.758755086,129997.2272,505165.0981,1386395000,71.71751844,,38.6,38.1
2018,China,0.758,0.872,6.615957177,120289.2879,539243.1394,1392730000,71.20211371,96.84088898,,38.2
1998,"Hong Kong SAR, China",0.817,0.925,7.745333333,12925.4,10538.2,6543700,71.81336676,,,
1999,"Hong Kong SAR, China",0.821,0.93,7.7575,12651.9,10528,6606500,71.98404714,,,
2000,"Hong Kong SAR, China",0.827,0.935,7.791166667,14582,11449,6665000,72.12388972,,,247.7
2001,"Hong Kong SAR, China",0.835,0.939,7.79875,14027.5,9646.1,6714300,72.40556766,,,
2002,"Hong Kong SAR, China",0.842,0.943,7.798916667,12594.3,9328.1,6744100,72.63287711,,,
2003,"Hong Kong SAR, China",0.851,0.947,7.78675,13520.46241,8851.141559,6730800,72.84617536,,,
2004,"Hong Kong SAR, China",0.862,0.95,7.788,15827.35045,9313.897644,6783500,73.09868419,,,
2005,"Hong Kong SAR, China",0.871,0.953,7.777333333,16351.02861,8891.705575,6813200,73.40552005,,,342.7
2006,"Hong Kong SAR, China",0.883,0.956,7.767833333,17742.17491,7946.676159,6857100,73.86099546,,,
2007,"Hong Kong SAR, China",0.887,0.959,7.801416667,19901.65448,7025.987746,6916300,74.30746862,,,
2008,"Hong Kong SAR, China",0.896,0.962,7.786833333,21498.61939,6483.377493,6957800,74.71167328,,,
2009,"Hong Kong SAR, China",0.898,0.965,7.75175,21050.52518,3570.904821,6972800,75.00361752,,,
2010,"Hong Kong SAR, China",0.901,0.968,7.769166667,26570.4508,4296.396722,7024200,75.12407894,,,404.8
2011,"Hong Kong SAR, China",0.904,0.971,7.784,36398.78463,4409.573508,7071600,75.11487043,,,421.9
2012,"Hong Kong SAR, China",0.911,0.974,7.756416667,37471.8091,5455.56722,7150100,74.99848159,,,430.6
2013,"Hong Kong SAR, China",0.916,0.978,7.756,42332.23294,5654.088352,7178900,74.73462986,,,442.6
2014,"Hong Kong SAR, China",0.924,0.982,7.754083333,40913.40141,5897.229286,7229500,74.28499146,,,426
2015,"Hong Kong SAR, China",0.927,0.985,7.75175,37182.74659,6801.600468,7291300,73.64606103,,,389.4
2016,"Hong Kong SAR, China",0.931,0.989,7.76225,34895.36007,7406.81536,7336600,73.0503668,,,371.7
2017,"Hong Kong SAR, China",0.937,0.992,7.79325,39854.77046,7372.213286,7391700,72.21830628,,,376.4
2018,"Hong Kong SAR, China",0.939,0.995,7.8385,37310.82112,6273.553057,7451000,71.2240546,,,376
1998,India,0.484,0.641,41.259365,3564.5,8237.2,1019483581,60.18600058,,,
1999,India,0.492,0.648,43.05542833,3687.8,9070.8,1038058156,60.53971518,,,
2000,India,0.497,0.654,44.941605,3667.3,10686.6,1056575549,60.90862046,,,26.9
2001,India,0.502,0.66,47.18641417,3757,9737.3,1075000085,61.18898716,61.01456,,
2002,India,0.508,0.666,48.61031917,4101,11818.4,1093317189,61.4993847,,,
2003,India,0.521,0.672,46.58328417,4979.69312,13055.29063,1111523144,61.83084479,,,
2004,India,0.53,0.678,45.31646667,6109.357025,15572.03644,1129623456,62.173897,,,
2005,India,0.539,0.685,44.099975,7918.602428,18804.16965,1147609927,62.52276485,,,42
2006,India,0.548,0.691,45.30700833,9673.570797,21830.8214,1165486291,62.80842981,62.75447,,
2007,India,0.558,0.698,41.34853333,14968.84554,24073.26428,1183209472,63.10261029,,,
2008,India,0.565,0.705,43.50518333,17682.08474,25704.38258,1200669765,63.40924784,,,
2009,India,0.571,0.711,48.40526667,16441.39549,21165.96597,1217726215,63.74196691,,,
2010,India,0.581,0.718,45.72581212,19248.88697,29532.93901,1234281170,64.10821053,,35.7,49.3
2011,India,0.59,0.725,46.67046667,21542.18438,36154.49564,1250288729,64.429404,69.30256,35.7,55.6
2012,India,0.6,0.731,53.43723333,22105.73786,40512.64404,1265782790,64.80551944,,35.7,55.8
2013,India,0.607,0.737,58.59784542,21810.44755,41809.98875,1280846129,65.20848906,,35.7,53.8
2014,India,0.618,0.743,61.02951446,21499.08531,45357.98221,1295604184,65.5959799,,35.7,48.9
2015,India,0.627,0.748,64.15194446,21452.9085,44782.65636,1310152403,65.94416405,,35.7,41.9
2016,India,0.637,0.752,67.19531281,21647.17765,46024.24873,1324509589,66.27426247,,35.7,40.2
2017,India,0.643,0.756,65.12156865,25647.81793,48549.44237,1338658835,66.53818711,,35.7,40.8
2018,India,0.647,0.76,68.38946709,33191.06082,54282.1147,1352617328,66.7667425,74.37299,,43.1
1998,Indonesia,0.587,0.696,10013.6225,2299.1,9340.7,205724592,63.66523891,,,
1999,Indonesia,0.595,0.7,7855.15,2038.4,9525.5,208615169,64.1686588,,,
2000,Indonesia,0.604,0.704,8421.775,2401.7,10366.9,211513823,64.6084658,,,71.4
2001,Indonesia,0.61,0.708,10260.85,2520.5,10103.5,214427417,64.78682435,,,
2002,Indonesia,0.616,0.713,9311.191667,2555.8,9643.4,217357793,64.93126796,,,
2003,Indonesia,0.623,0.717,8577.133333,2516.378492,9515.07129,220309469,65.0565537,,,
2004,Indonesia,0.629,0.723,8938.85,2671.41175,10810.51621,223285676,65.18241233,90.38478851,,
2005,Indonesia,0.633,0.728,9704.741667,3053.913961,12014.34419,226289470,65.3179695,,,64
2006,Indonesia,0.643,0.734,9159.316667,3078.476384,13424.71718,229318262,65.61064203,91.98226929,,
2007,Indonesia,0.644,0.74,9141,3969.656878,14301.25716,232374245,65.8362152,,,
2008,Indonesia,0.648,0.746,9698.9625,5644.478295,15799.13777,235469762,66.00301231,92.19229889,,
2009,Indonesia,0.659,0.752,10389.9375,5106.983972,12938.58908,238620563,66.11976605,92.58170319,,
2010,Indonesia,0.666,0.757,9090.433333,6947.85291,16478.33956,241834215,66.20938439,,38.1,46.7
2011,Indonesia,0.674,0.762,8770.433333,7421.405814,19110.89613,245116206,66.43167506,92.81191254,38.1,50.2
2012,Indonesia,0.682,0.767,9386.629167,7997.976489,18002.18553,248452413,66.6076764,,38.1,49.6
2013,Indonesia,0.688,0.772,10461.24,9106.545145,18871.60948,251806402,66.77005263,,38.1,48.6
2014,Indonesia,0.691,0.777,11865.2113,8281.008846,19389.82095,255129004,66.95356767,95.11621857,38.1,48.1
2015,Indonesia,0.696,0.781,13389.41294,7118.132992,19605.23208,258383256,67.16559219,95.21793365,38.1,41.9
2016,Indonesia,0.7,0.785,13308.3268,6024.280581,19184.01155,261554226,67.2429804,95.37696838,38.1,37.4
2017,Indonesia,0.704,0.789,13380.83388,6863.640991,20205.13508,264645886,67.40315016,,38.1,39.4
2018,Indonesia,0.707,0.792,14236.93877,8170.937074,20828.50285,267663435,67.59163708,95.65856171,,43
1998,Israel,0.843,0.899,3.800075,6983.4,8640.5,5971000,61.7097128,,,
1999,Israel,0.85,0.903,4.139716667,7690.7,9864.4,6125000,61.79863453,,,
