Models,Multiple regression,Multiple regression,FE Model,FE Model
Variables,HDI,LifeExp,HDI,LifeExp
ExRate,-0.000000996*,0.00000178***,-0.00000443***,-0.00000494***
,(0.000000466),(0.000000482),(0.000000654),(0.000000657)
,,,,
logTradeIM,0.0228***,0.0150***,0.00691***,0.00465**
,(0.00313),(0.00305),(0.00142),(0.00143)
,,,,
logTradeEX,0.0310***,0.0250***,0.00902***,0.00500***
,(0.00342),(0.00286),(0.000947),(0.000952)
,,,,
logPop,-0.0588***,-0.0400***,-0.0790***,-0.0312***
,(0.00161),(0.00147),(0.00417),(0.00419)
,,,,
AgeDib,0.00229***,0.00108**,0.00347***,-0.000278
,(0.000465),(0.000392),(0.000304),(0.000305)
,,,,
Year,,,0.00566***,0.00429***
,,,(0.000114),(0.000115)
,,,,
Constant,1.135***,1.097***,-9.615***,-7.293***
,(0.0404),(0.0352),(0.218),(0.219)
,,,,
Observations,420,420,420,420
R-Squared,0.828,0.731,0.946,0.890
