ï..Country,Bangladesh,Brunei Darussalam,China,"Hong Kong SAR, China",India,Indonesia,Israel,Japan,"Korea, Rep.",Malaysia,Pakistan,Philippines,Qatar,Russian Federation,Saudi Arabia,Singapore,Sri Lanka,Thailand,United Arab Emirates,Vietnam
X1998,46.90565167,1.673601667,8.278958333,7.745333333,41.259365,10013.6225,3.800075,130.9053007,1401.436667,3.924375,45.04666667,40.89305,3.64,9.705083333,3.75,1.673601667,64.45011833,41.3593875,,13268
X1999,49.0854,1.694956667,8.27825,7.7575,43.05542833,7855.15,4.139716667,113.906805,1188.816667,3.8,49.50069158,39.08898333,3.64,24.6199,3.75,1.694956667,70.63545,37.81365583,3.6725,13943.16667
X2000,52.14166667,1.723963333,8.278504167,7.791166667,44.941605,8421.775,4.077333333,107.7654983,1130.9575,3.8,53.6481865,44.19225,3.64,28.12916667,3.75,1.723963333,77.00511667,40.11180333,3.6725,14167.75
X2001,55.80666667,1.7917225,8.277068333,7.79875,47.18641417,10260.85,4.20565,121.5289475,1290.994583,3.8,61.92716167,50.99265,3.64,29.168525,3.75,1.7917225,89.38301333,44.4319,3.6725,14725.16667
X2002,57.888,1.790588333,8.2769575,7.798916667,48.61031917,9311.191667,4.737825,125.3880192,1251.088333,3.8,59.72378167,51.60356667,3.64,31.34848333,3.75,1.790588333,95.662065,42.96008333,3.6725,15279.5
X2003,58.15004,1.742183333,8.277036667,7.78675,46.58328417,8577.133333,4.554133333,115.9334642,1191.614167,3.8,57.75199667,54.20333333,3.64,30.692025,3.75,1.742183333,96.52095083,41.48461667,3.6725,15509.58333
X2004,59.51265833,1.690228333,8.276800833,7.788,45.31646667,8938.85,4.481983333,108.1925692,1145.319167,3.8,58.25786333,56.03991667,3.64,28.81374167,3.75,1.690228333,101.1944575,40.22241492,3.6725,15746
X2005,64.327475,1.6643975,8.194316667,7.777333333,44.099975,9704.741667,4.4877,110.2182117,1024.116667,3.787091667,59.514475,55.08549167,3.64,28.28444167,3.75,1.6643975,100.4980517,40.22013021,3.6725,15858.91667
X2006,68.93323333,1.588933333,7.973438333,7.767833333,45.30700833,9159.316667,4.455808333,116.2993117,954.7905158,3.668176958,60.271335,51.3142725,3.64,27.19095833,3.75,1.588933333,103.9144458,37.88198322,3.6725,15994.25
X2007,68.874875,1.507101667,7.6075325,7.801416667,41.34853333,9141,4.108082949,117.7535292,929.2572617,3.437569382,60.73851583,46.14839118,3.64,25.58084537,3.75,1.507101667,110.6232333,34.51818059,3.6725,16105.125
X2008,68.598275,1.417166667,6.948655,7.786833333,43.50518333,9698.9625,3.588021194,103.359494,1102.046667,3.335833333,70.40803333,44.32328761,3.64,24.852875,3.75,1.414860833,108.3337627,33.31330064,3.6725,16302.25
X2009,69.03906667,1.454569273,6.831416052,7.75175,48.40526667,10389.9375,3.932335478,93.57008909,1276.93,3.524502911,81.71289167,47.67968845,3.64,31.74035833,3.75,1.454514713,114.9447833,34.28577412,3.6725,17065.08333
X2010,69.64929167,1.363509474,6.770269029,7.769166667,45.72581212,9090.433333,3.738975,87.779875,1156.060988,3.221086915,85.19381633,45.10966418,3.64,30.36791534,3.75,1.363508333,113.0644804,31.685705,3.6725,18612.91667
X2011,74.1524,1.25791302,6.461461327,7.784,46.67046667,8770.433333,3.578129306,79.80701983,1108.292125,3.060003011,86.34338333,43.31313692,3.64,29.38234137,3.75,1.257775877,110.5652079,30.49173333,3.6725,20509.75
X2012,81.86265833,1.249567016,6.312332827,7.756416667,53.43723333,9386.629167,3.855921825,79.79045542,1126.470826,3.088800867,93.39519722,42.22879473,3.64,30.83983135,3.75,1.249676204,127.6033535,31.08309167,3.6725,20828
X2013,78.103235,1.25116567,6.195758346,7.756,58.59784542,10461.24,3.610758333,97.59565828,1094.852917,3.15090855,101.6288992,42.44618483,3.64,31.83714364,3.75,1.2513,129.0690309,30.72596667,3.6725,20933.41667
X2014,77.64140833,1.267040123,6.143434094,7.754083333,61.02951446,11865.2113,3.577925,105.944781,1052.960833,3.272859746,101.1000884,44.3951543,3.64,38.37820714,3.75,1.26705,130.5646852,32.47983333,3.6725,21148
X2015,77.94690833,1.374910845,6.227488673,7.75175,64.15194446,13389.41294,3.886833333,121.0440257,1131.1575,3.905500263,102.7692716,45.50283994,3.64,60.93765011,3.75,1.374825,135.8569128,34.24771667,3.6725,21697.5675
X2016,78.46809167,1.381346877,6.644477829,7.76225,67.19531281,13308.3268,3.840566667,108.7929,1160.433435,4.148300663,104.769117,47.49246386,3.64,67.05593333,3.75,1.381546364,145.5816675,35.29638333,3.6725,21935.00083
X2017,80.43754167,1.380891164,6.758755086,7.79325,65.12156865,13380.83388,3.599555548,112.1661411,1130.424621,4.300440878,105.4551621,50.40371979,3.64,58.34280119,3.75,1.380925,152.4464139,33.93981106,3.6725,22370.08667
X2018,83.46620192,1.348918565,6.615957177,7.8385,68.38946709,14236.93877,3.590558127,110.4231793,1100.5,4.035130137,121.8240689,52.66142995,3.64,62.66813333,3.75,1.348841667,162.4648587,32.31022574,3.6725,22602.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,.,,,,,,,,,,,,,
