Country, Bangladesh, Brunei Darussalam, China,"Hong Kong SAR, China", India, Indonesia, Israel, Japan," Korea, Rep.", Malaysia, Pakistan, Philippines, Qatar, Russian Federation, Saudi Arabia, Singapore, Sri Lanka, Thailand, United Arab Emirates, Vietnam
X2000,29.3,103.2,39.4,247.7,26.9,71.4,71.3,19.8,67.9,220.4,28.1,104.7,89.6,68.1,68.2,364.4,88.6,121.3,..,111.4
X2005,34.4,97.5,62.2,342.7,42,64,81.7,26.5,71.2,203.9,35.3,97.9,94.7,56.7,82,420.4,73.6,137.9,119.6,130.7
X2010,37.8,95.4,49,404.8,49.3,46.7,67.9,28.6,95.7,157.9,32.9,71.4,86.1,50.4,82.5,369.7,46.4,127.3,141.3,152.2
X2011,47.4,99.5,50.7,421.9,55.6,50.2,71.5,30.4,110,154.9,32.9,67.7,98.7,47.9,85.5,379.1,55,139.7,151.8,162.9
X2012,48.1,105.6,48.3,430.6,55.8,49.6,72,30.6,109.9,147.8,32.8,64.9,105.7,47.1,83.5,369.2,51.5,138.5,165.1,156.6
X2013,46.3,110.9,46.7,442.6,53.8,48.6,65.5,34.1,102.8,142.7,33.3,60.2,102.4,46.2,82.7,367,49.3,133.4,165.5,165.1
X2014,44.5,99.4,45.1,426,48.9,48.1,62.9,37.5,95.3,138.3,30.9,61.5,99,47.8,80.6,360.5,50.3,131.8,168.1,169.5
X2015,42.1,84.9,39.6,389.4,41.9,41.9,59.4,35.6,83.7,133.5,27.7,62.7,93.7,49.4,72.1,329.5,49.6,125.9,175.2,178.8
X2016,38,87.3,37.2,371.7,40.2,37.4,58,31.5,77.7,128.8,25.3,65.5,89.5,46.3,61.9,304.5,49.6,122,176.7,184.7
X2017,35.3,85.2,38.1,376.4,40.8,39.4,56.8,34.6,80.8,135.8,25.8,71.9,88.3,46.8,64.2,317.8,50.5,122.5,172.8,200.4
X2018,38.2,93.9,38.2,376,43.1,43,..,..,83,132.3,28,76.1,..,51.5,66.5,326.2,52.9,123.3,161.8,187.5
