Country,Bangladesh,Brunei Darussalam,China,"Hong Kong SAR, China",India,Indonesia,Israel,Japan,"Korea, Rep.",Malaysia,Pakistan,Philippines,Qatar,Russian Federation,Saudi Arabia,Singapore,Sri Lanka,Thailand,United Arab Emirates,Vietnam
X1998,0.453,0.798,0.574,0.817,0.484,0.587,0.843,0.847,0.797,0.709,0.44,0.623,0.81,0.703,0.737,0.796,0.669,0.63,0.769,0.559
X1999,0.462,0.804,0.583,0.821,0.492,0.595,0.85,0.85,0.808,0.715,0.445,0.627,0.814,0.71,0.739,0.807,0.677,0.64,0.776,0.566
X2000,0.47,0.805,0.591,0.827,0.497,0.604,0.853,0.855,0.817,0.724,0.449,0.631,0.816,0.721,0.744,0.818,0.687,0.649,0.782,0.578
X2001,0.479,0.806,0.599,0.835,0.502,0.61,0.857,0.859,0.824,0.722,0.456,0.634,0.817,0.727,0.747,0.822,0.693,0.657,0.787,0.586
X2002,0.485,0.809,0.61,0.842,0.508,0.616,0.865,0.862,0.832,0.724,0.464,0.639,0.822,0.733,0.749,0.83,0.699,0.665,0.793,0.594
X2003,0.492,0.815,0.622,0.851,0.521,0.623,0.865,0.865,0.839,0.731,0.472,0.643,0.83,0.74,0.756,0.839,0.708,0.674,0.798,0.603
X2004,0.499,0.82,0.631,0.862,0.53,0.629,0.867,0.869,0.847,0.734,0.486,0.653,0.832,0.746,0.765,0.846,0.715,0.683,0.803,0.612
X2005,0.506,0.824,0.643,0.871,0.539,0.633,0.871,0.873,0.855,0.732,0.499,0.656,0.838,0.752,0.771,0.869,0.721,0.693,0.809,0.616
X2006,0.514,0.827,0.657,0.883,0.548,0.643,0.872,0.877,0.862,0.738,0.503,0.657,0.835,0.759,0.778,0.872,0.728,0.694,0.814,0.624
X2007,0.521,0.827,0.67,0.887,0.558,0.644,0.881,0.88,0.869,0.751,0.511,0.663,0.838,0.767,0.784,0.879,0.734,0.71,0.819,0.632
X2008,0.524,0.828,0.681,0.896,0.565,0.648,0.88,0.881,0.874,0.762,0.513,0.667,0.843,0.774,0.793,0.884,0.742,0.714,0.821,0.639
X2009,0.535,0.831,0.69,0.898,0.571,0.659,0.882,0.88,0.871,0.766,0.52,0.666,0.841,0.771,0.797,0.885,0.745,0.718,0.819,0.65
X2010,0.549,0.832,0.702,0.901,0.581,0.666,0.887,0.885,0.882,0.773,0.524,0.672,0.834,0.78,0.81,0.909,0.75,0.721,0.821,0.653
X2011,0.559,0.836,0.711,0.904,0.59,0.674,0.892,0.89,0.888,0.779,0.528,0.677,0.845,0.789,0.824,0.914,0.756,0.729,0.826,0.663
X2012,0.567,0.843,0.719,0.911,0.6,0.682,0.893,0.895,0.89,0.782,0.533,0.684,0.85,0.797,0.837,0.92,0.762,0.733,0.832,0.668
X2013,0.572,0.844,0.727,0.916,0.607,0.688,0.895,0.9,0.893,0.787,0.537,0.692,0.857,0.803,0.846,0.923,0.765,0.731,0.839,0.673
X2014,0.572,0.845,0.735,0.924,0.618,0.691,0.9,0.904,0.896,0.792,0.546,0.697,0.854,0.807,0.853,0.928,0.769,0.739,0.847,0.675
X2015,0.588,0.843,0.742,0.927,0.627,0.696,0.901,0.906,0.899,0.797,0.55,0.702,0.851,0.813,0.857,0.929,0.772,0.746,0.86,0.68
X2016,0.599,0.844,0.749,0.931,0.637,0.7,0.902,0.91,0.901,0.801,0.556,0.704,0.847,0.817,0.857,0.933,0.774,0.753,0.863,0.685
X2017,0.609,0.843,0.753,0.937,0.643,0.704,0.904,0.913,0.904,0.802,0.558,0.709,0.848,0.822,0.856,0.934,0.776,0.762,0.864,0.69
X2018,0.614,0.845,0.758,0.939,0.647,0.707,0.906,0.915,0.906,0.804,0.56,0.712,0.848,0.824,0.857,0.935,0.78,0.765,0.866,0.693
