Country Name,Bangladesh,Brunei Darussalam,China,"Hong Kong SAR, China",India,Indonesia,Israel,Japan,Malaysia,Pakistan,Philippines,Qatar,Republic of Korea,Russian Federation,Saudi Arabia,Singapore,Sri Lanka,Thailand,United Arab Emirates ,Vietnam,,
1998,,,,,,,,,,42.6993103,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,90.27829742,,
2000,,,90.92021179,,,,,,88.6877594,,92.60005951,,,,79.35093689,92.54940033,,92.64653778,,90.15612793,,
2001,47.48550034,92.67112732,,,61.01456,,,,,,,,,,,,90.68274689,,,,,
2002,,,,,,,,,,,,,,99.44097137,,,,,,,,
2003,,,,,,,,,,,92.59069061,,,,,,,,,,,
2004,,,,,,90.38478851,,,,,,86.73161316,,,82.85774231,,,,,,,
2005,,,,,,,,,,49.87363815,,,,,,,,93.50646973,90.03385162,,,
2006,,,,,62.75447,91.98226929,,,,54.15121078,,,,,,,90.80883026,,,,,
2007,46.66360092,,,,,,,,,52.13682938,,90.06062317,,,,,,,,,,
2008,,,,,,92.19229889,,,,55.526371,95.42009735,91.01075745,97.96594238,,,,90.55795288,,,,,
2009,,,,,,92.58170319,,,,54.89263916,,91.15142059,,,,,,,,93.52044678,,
2010,,,95.1244812,,,,,,93.1178894,55.37519073,,91.77884674,,99.68427277,,95.85733032,91.18135834,96.4309082,,,,
2011,58.7691803,96.08556366,,,69.30256,92.81191254,,,,54.73802185,,91.36408234,,,,96.18604279,,,,,,
2012,57.86074829,,,,,,,,,56.76433945,,90.1700592,,,,96.36978912,,,,,,
2013,61.01554108,,,,,,,,,55.59498978,96.39800262,90.63298798,,,94.4263382,96.54801941,,93.70207214,,,,
2014,61.09329987,,,,,95.11621857,,,,56.97714996,,91.3272171,,,,96.71669006,,,,,,
2015,65.1373291,,,,,95.21793365,,,,,98.18254852,,,,,96.82549286,,92.86830902,93.22714233,,,
2016,72.7587204,,,,,95.37696838,,,94.88057709,,,93.14530182,,,,97.04956055,92.38690186,,,,,
2017,72.89296722,,,,,,,,95.08264923,59.13204956,,93.46396637,,,95.32862854,97.2022171,91.89575195,,,,,
2018,73.91220093,97.21411133,96.84088898,,74.37299,95.65856171,,,94.85440826,,,,,99.73005676,,97.34485626,91.70982361,93.76776123,,95.00038147,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,74.37299347
