"ï..year","Country","IYR","EYR"
1998,"Russian Federation",5747.2,3552.7
1999,"Russian Federation",5920.7,2059.8
2000,"Russian Federation",7658.5,2092.5
2001,"Russian Federation",6264.4,2716.2
2002,"Russian Federation",6870.1,2396.9
2003,"Russian Federation",8617.948696,2447.218211
2004,"Russian Federation",11891.32398,2960.996609
2005,"Russian Federation",15306.67384,3962.270261
2006,"Russian Federation",19828.29772,4700.325257
2007,"Russian Federation",19314.21997,7283.267667
2008,"Russian Federation",26782.98546,9334.581764
2009,"Russian Federation",18199.65057,5332.081493
2010,"Russian Federation",25691.10545,5993.665458
2011,"Russian Federation",34619.04935,8318.43925
2012,"Russian Federation",29364.79655,10695.29138
2013,"Russian Federation",27085.6907,11144.74748
2014,"Russian Federation",23659.56665,10752.40503
2015,"Russian Federation",16372.42503,7086.515412
2016,"Russian Federation",14543.37478,5831.102663
2017,"Russian Federation",17055.37718,7002.916799
2018,"Russian Federation",20850.59662,6658.001863
2003,"Israel",0,0
1998,"Israel",8640.5,6983.4
1999,"Israel",9864.4,7690.7
2000,"Israel",12964.4,7745.8
2001,"Israel",11959.2,7475.3
2002,"Israel",12415.7,7026.7
2003,"Israel",12768.5641,6892.051704
2004,"Israel",14551.46859,9169.053561
2005,"Israel",16830.46608,9737.340849
2006,"Israel",19166.7578,10964.81751
2007,"Israel",20794.41321,12887.47704
2008,"Israel",22335.83479,14486.86316
2009,"Israel",18744.35659,9559.356487
2010,"Israel",20984.76029,11295.0206
2011,"Israel",23046.60676,13961.6161
2012,"Israel",22131.11038,14273.49843
2013,"Israel",22783.31367,13743.69104
2014,"Israel",23007.05702,15072.95542
2015,"Israel",24494.77052,13539.21156
2016,"Israel",22203.05871,13199.44239
2017,"Israel",21944.95698,12547.57251
2018,"Israel",21777.16733,13709.27719
1998,"Saudi Arabia",6241.3,10520.1
1999,"Saudi Arabia",8253.5,7911.9
2000,"Saudi Arabia",14364.8,6234.2
2001,"Saudi Arabia",13272.2,5957.6
2002,"Saudi Arabia",13149.9,4780.8
2003,"Saudi Arabia",18068.61459,4595.749142
2004,"Saudi Arabia",20958.67662,5256.74814
2005,"Saudi Arabia",27192.64204,6805.402418
2006,"Saudi Arabia",31689.02804,7639.533026
2007,"Saudi Arabia",35625.98683,10395.89078
2008,"Saudi Arabia",54747.44853,12484.24843
2009,"Saudi Arabia",22053.14982,10792.15727
2010,"Saudi Arabia",31412.82298,11506.20086
2011,"Saudi Arabia",47476.33626,13923.66467
2012,"Saudi Arabia",55666.95084,17961.23847
2013,"Saudi Arabia",51806.69872,18962.91493
2014,"Saudi Arabia",47041.33885,18716.92027
2015,"Saudi Arabia",22083.19442,19791.57541
2016,"Saudi Arabia",16923.62226,17993.6781
2017,"Saudi Arabia",18867.74745,16355.44581
2018,"Saudi Arabia",24065.69446,13597.01027
1998,"Qatar",220.6,354.4
1999,"Qatar",272.1,145.5
2000,"Qatar",485.5,191.2
2001,"Qatar",501.9,335.8
2002,"Qatar",484.6,313.9
2003,"Qatar",331.364375,407.512561
2004,"Qatar",387.360888,454.857542
2005,"Qatar",447.861094,986.642413
2006,"Qatar",261.781556,1278.589136
2007,"Qatar",477.129376,2523.625528
2008,"Qatar",484.253815,2715.854933
2009,"Qatar",505.763117,2713.238087
2010,"Qatar",466.353652,3159.76979
2011,"Qatar",1199.704662,2806.681719
2012,"Qatar",1011.454913,3577.715161
2013,"Qatar",1300.913475,4957.973407
2014,"Qatar",1742.377351,5172.54812
2015,"Qatar",1354.338189,4222.42799
2016,"Qatar",1160.501102,4926.696554
2017,"Qatar",1196.690611,3123.875732
2018,"Qatar",1571.169506,4428.220337
1998,"United Arab Emirates",660.1,2365.8
1999,"United Arab Emirates",714.5,2707.8
2000,"United Arab Emirates",971.7,2284.7
2001,"United Arab Emirates",1194.2,2638
2002,"United Arab Emirates",922.9,3593.2
2003,"United Arab Emirates",1128.035878,3508.267529
2004,"United Arab Emirates",1142.722387,4080.037812
2005,"United Arab Emirates",1468.316627,8119.527357
2006,"United Arab Emirates",1385.377995,10277.01648
2007,"United Arab Emirates",1337.494857,10786.64869
2008,"United Arab Emirates",1286.233771,14417.39844
2009,"United Arab Emirates",1497.950835,12210.86336
2010,"United Arab Emirates",1145.388271,11662.4559
2011,"United Arab Emirates",2439.791392,15921.62942
2012,"United Arab Emirates",2252.977531,22559.10872
2013,"United Arab Emirates",2291.216863,24476.06452
2014,"United Arab Emirates",2819.605214,22115.34355
2015,"United Arab Emirates",2473.748645,23001.07821
2016,"United Arab Emirates",3370.615997,22384.47066
2017,"United Arab Emirates",4243.055415,20078.56131
2018,"United Arab Emirates",4999.16607,19497.12748
1998,"India",8237.2,3564.5
1999,"India",9070.8,3687.8
2000,"India",10686.6,3667.3
2001,"India",9737.3,3757
2002,"India",11818.4,4101
2003,"India",13055.29063,4979.69312
2004,"India",15572.03644,6109.357025
2005,"India",18804.16965,7918.602428
2006,"India",21830.8214,9673.570797
2007,"India",24073.26428,14968.84554
